content,subject,is_phishing
URGENT: Your PAYPAL account is suspended. Please verify now: http://paypal-verify.com/0,Security Alert,1
URGENT: Your AMAZON account is suspended. Please verify now: http://amazon-verify.com/1,Security Alert,1
URGENT: Your APPLE account is suspended. Please verify now: http://apple-verify.com/2,Security Alert,1
URGENT: Your GOOGLE account is suspended. Please verify now: http://google-verify.com/3,Security Alert,1
URGENT: Your MICROSOFT account is suspended. Please verify now: http://microsoft-verify.com/4,Security Alert,1
URGENT: Your CHASE account is suspended. Please verify now: http://chase-verify.com/5,Security Alert,1
URGENT: Your PAYPAL account is suspended. Please verify now: http://paypal-verify.com/6,Security Alert,1
URGENT: Your AMAZON account is suspended. Please verify now: http://amazon-verify.com/7,Security Alert,1
URGENT: Your APPLE account is suspended. Please verify now: http://apple-verify.com/8,Security Alert,1
URGENT: Your GOOGLE account is suspended. Please verify now: http://google-verify.com/9,Security Alert,1
URGENT: Your MICROSOFT account is suspended. Please verify now: http://microsoft-verify.com/10,Security Alert,1
URGENT: Your CHASE account is suspended. Please verify now: http://chase-verify.com/11,Security Alert,1
URGENT: Your PAYPAL account is suspended. Please verify now: http://paypal-verify.com/12,Security Alert,1
URGENT: Your AMAZON account is suspended. Please verify now: http://amazon-verify.com/13,Security Alert,1
URGENT: Your APPLE account is suspended. Please verify now: http://apple-verify.com/14,Security Alert,1
URGENT: Your GOOGLE account is suspended. Please verify now: http://google-verify.com/15,Security Alert,1
URGENT: Your MICROSOFT account is suspended. Please verify now: http://microsoft-verify.com/16,Security Alert,1
URGENT: Your CHASE account is suspended. Please verify now: http://chase-verify.com/17,Security Alert,1
URGENT: Your PAYPAL account is suspended. Please verify now: http://paypal-verify.com/18,Security Alert,1
URGENT: Your AMAZON account is suspended. Please verify now: http://amazon-verify.com/19,Security Alert,1
URGENT: Your APPLE account is suspended. Please verify now: http://apple-verify.com/20,Security Alert,1
URGENT: Your GOOGLE account is suspended. Please verify now: http://google-verify.com/21,Security Alert,1
URGENT: Your MICROSOFT account is suspended. Please verify now: http://microsoft-verify.com/22,Security Alert,1
URGENT: Your CHASE account is suspended. Please verify now: http://chase-verify.com/23,Security Alert,1
