amount,old_balance_orig,new_balance_orig,old_balance_dest,new_balance_dest,type,name_orig,name_dest,hour,day_of_week,is_fraud
12.44,2822.79,2309.79,7391.07,6799.32,debit,C2458591,M8078673,1,0,0
623.62,362.71,2068.49,6533.86,5494.92,cash_out,C8536477,M5667265,0,6,1
59.51,3468.48,1639.25,9576.41,3432.29,transfer,C7374122,M2622631,11,6,0
87.99,530.16,4648.31,1335.78,9230.72,transfer,C5918715,M7067228,18,1,0
5.65,2356.19,2964.94,889.94,2404.63,transfer,C7377459,M5663623,14,5,0
8.34,3617.18,6734.73,7048.02,6867.12,transfer,C3871230,M9961380,23,1,0
0.14,9261.37,6912.8,2274.19,3310.4,transfer,C4842788,M1538552,10,3,1
2847.13,5715.08,7207.35,2205.0,5042.39,cash_in,C3396987,M5443951,4,1,1
12.81,7495.44,4341.49,5876.98,3683.76,cash_out,C9548432,M9279821,2,6,0
752.87,1683.82,6836.76,6004.45,3909.2,debit,C8852574,M9877065,8,4,1
3.69,7235.15,6848.93,5416.01,2741.57,payment,C2871534,M5924115,13,1,0
20.1,8770.94,2707.55,5055.8,1868.65,transfer,C6007072,M9517169,19,1,0
1028.52,7808.4,5350.5,105.66,3309.14,transfer,C2876828,M7089806,9,1,1
17.75,947.97,4911.31,785.2,7629.96,cash_out,C3154051,M8973915,17,1,1
14.19,2196.8,5439.03,7326.32,2091.4,payment,C7693979,M7264956,14,4,1
6.95,733.86,308.24,5583.82,5925.56,transfer,C2191066,M1987737,7,0,0
9.57,801.49,2456.25,6722.88,2220.94,cash_out,C8930103,M5076817,15,6,0
13.07,6623.93,3607.55,4169.91,8651.98,transfer,C2651177,M2016911,12,5,0
10.88,2561.7,1983.07,4541.27,4276.63,payment,C8761611,M5191056,2,3,0
5.91,1069.3,6556.23,5451.82,246.1,transfer,C4965789,M3790237,13,3,0
188.24,9034.18,1729.91,121.34,3965.18,cash_in,C5785687,M8096887,22,5,0
17.55,7212.24,1632.49,3037.41,9690.22,debit,C2022698,M6261415,1,0,0
23.21,8541.93,1658.58,9611.71,893.1,cash_out,C2149597,M2140194,21,6,0
210.11,5739.79,5831.3,493.44,911.64,debit,C9770838,M6307805,8,1,1
8.15,2729.58,1395.69,6490.46,4626.52,transfer,C1156287,M8688755,19,4,0
